id,programa,institucion,estado,ciudad,costo_colones,costo_texto,duracion_meses,duracion_texto,modalidad,nivel,categoria,etiquetas,fuente
FPE-CR-059,Técnico en Atención Primaria,Universidad de Iberoamerica,Aprobado,San Jose,1714980.00,"₡1.714.980,00",8,8 meses,Presencial,Técnico,Salud,atención;salud;servicio,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-060,Técnico en Ciberseguridad y Seguridad de la Información,Universidad CENFOTEC,Aprobado,San José,6837500.00,"₡6.837.500,00",28,28 meses,Presencial,Técnico,Tecnología,ciberseguridad;computación;empleo digital;seguridad de la información;tecnología,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-061,Técnico en Contabilidad,FUNDATEC,Aprobado,en Costa Rica,1295400.00,"₡1.295.400,00",12,12 meses,Presencial,Técnico,Contabilidad y finanzas,contabilidad;finanzas;oficina,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-062,Tecnico en Control de calidad,Universidad Fidelitas S.A,Aprobado,San José,3296000.00,"₡3.296.000,00",12,12 meses,Presencial,Técnico,Técnico industrial y oficios,calidad;control de calidad;industria;oficio;técnico,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-063,Técnico en Data Analyst,Universidad CENFOTEC,Aprobado,San José,6222149.00,"₡6.222.149,00",12,12 meses,En línea,Técnico,Tecnología,análisis de datos;computación;datos;empleo digital;tecnología,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-064,Técnico en Desarrollo de Software,Universidad CENFOTEC,Aprobado,San José,4223000.00,"₡4.223.000,00",16,16 meses,Presencial,Técnico,Tecnología,computación;desarrollo;empleo digital;programación;software;tecnología,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-065,TÉCNICO EN DIAGNÓSTICO Y REPARACIÓN DE VEHÍCULOS ELÉCTRICOS,FUNDATEC,Aprobado,en Costa Rica,4186000.00,"₡4.186.000,00",18,18 meses,Presencial,Técnico,Técnico industrial y oficios,automotriz;industria;mecánica;oficio;técnico,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-066,Técnico en Gestión de Recursos Humanos,Universidad Fidelitas S.A,Aprobado,San José,487190.00,"₡487.190,00",12,12 meses,Presencial,Técnico,Administración y negocios,administración;negocios;oficina;recursos humanos,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-067,Técnico en Ingeniería del Software,Universidad CENFOTEC,Aprobado,San José,7462000.00,"₡7.462.000,00",28,28 meses,Presencial,Técnico,Tecnología,computación;desarrollo;empleo digital;programación;software;tecnología,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-068,Técnico en Inteligencia Artificial y Machine Learning,Universidad CENFOTEC,Aprobado,San José,4248000.00,"₡4.248.000,00",9,9 meses,Híbrido,Técnico,Tecnología,computación;empleo digital;inteligencia artificial;machine learning;tecnología,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-069,Técnico en Mecánica Automotriz,Instituto Cosvic Sedes Alajuela-San José-Cartago-Puntarenas-Cañas-Liberia-Virtual,Aprobado,Alajuela,800000.00,"₡800.000,00",18,18 meses,Presencial,Técnico,Técnico industrial y oficios,automotriz;industria;mecánica;oficio;técnico,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-070,Técnico en Mecánica de Motos,Instituto COSVIC sólo sede San Ramón,Aprobado,San Ramón de Alajuela,1000000.00,"₡1.000.000,00",12,12 meses,Presencial,Técnico,Técnico industrial y oficios,automotriz;industria;mecánica;oficio;técnico,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-071,Técnico en Operaciones de Vuelo,Instituto de Formación Aeronáutica IFA,Aprobado,San José,4893000.00,"₡4.893.000,00",18,18 meses,Presencial,Técnico,Aviación,aeronáutica;aviación;transporte,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-072,Técnico en Producción Audiovisual,Universidad Latina de Costa Rica,Aprobado,San José,5448000.00,"₡5.448.000,00",18,18 meses,Presencial,Técnico,Diseño y comunicación,audiovisual;comunicación;creatividad;diseño;producción,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-073,Técnico en Programación Asistida con IA,Universidad CENFOTEC,Aprobado,San José,17676000.00,"₡17.676.000,00",13,13 meses,Híbrido,Técnico,General,general,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-074,Tecnico en Redes CISCO CCNA,Universidad Fidelitas S.A,Aprobado,San José,1910000.00,"₡1.910.000,00",10,10 meses,En línea,Técnico,Tecnología,computación;empleo digital;redes;tecnología;telecomunicaciones,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-075,Técnico en Refrigeración y Aire Acondicionado,Instituto Cosvic Sedes Alajuela-San José-Cartago-Puntarenas-Cañas-Liberia-Virtual,Aprobado,Alajuela,1448430.00,"₡1.448.430,00",12,12 meses,Presencial,Técnico,Técnico industrial y oficios,aire acondicionado;industria;oficio;refrigeración;técnico,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-076,Técnico en Sistemas de Aeronaves,Instituto de Formación Aeronáutica IFA,Aprobado,San José,4000000.00,"₡4.000.000,00",26,26 meses,Presencial,Técnico,Aviación,aeronáutica;aviación;transporte,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-077,Técnico en Telemática,FUNDATEC,Aprobado,en Costa Rica,9545900.00,"₡9.545.900,00",18,18 meses,Presencial,Técnico,Tecnología,computación;empleo digital;redes;tecnología;telecomunicaciones,https://portal.pef.churchofjesuschrist.org/print/programsandschools
FPE-CR-078,Tripulante de Cabina de Pasajeros,Instituto de Formación Aeronáutica IFA,Aprobado,San José,2500000.00,"₡2.500.000,00",8,8 meses,Presencial,Otro,Aviación,aeronáutica;aviación;transporte,https://portal.pef.churchofjesuschrist.org/print/programsandschools
